Aika,N
2020-01-01 00:00:00,12650.0
2020-01-01 01:00:00,11666.0
2020-01-01 02:00:00,8620.0
2020-01-01 03:00:00,6654.0
2020-01-01 04:00:00,5784.0
2020-01-01 05:00:00,6286.0
2020-01-01 06:00:00,7154.0
2020-01-01 07:00:00,5354.0
2020-01-01 08:00:00,4668.0
2020-01-01 09:00:00,6392.0
2020-01-01 10:00:00,10396.0
2020-01-01 11:00:00,17064.0
2020-01-01 12:00:00,25674.0
2020-01-01 13:00:00,31360.0
2020-01-01 14:00:00,36432.0
2020-01-01 15:00:00,38608.0
2020-01-01 16:00:00,36948.0
2020-01-01 17:00:00,34406.0
2020-01-01 18:00:00,29622.0
2020-01-01 19:00:00,24442.0
2020-01-01 20:00:00,19830.0
2020-01-01 21:00:00,14126.0
2020-01-01 22:00:00,8706.0
2020-01-01 23:00:00,5366.0
2020-01-02 00:00:00,1817.0
2020-01-02 01:00:00,1280.0
2020-01-02 02:00:00,1036.0
2020-01-02 03:00:00,1113.0
2020-01-02 04:00:00,1983.0
2020-01-02 05:00:00,6519.0
2020-01-02 06:00:00,18928.0
2020-01-02 07:00:00,25925.0
2020-01-02 08:00:00,22649.0
2020-01-02 09:00:00,19299.0
2020-01-02 10:00:00,20146.0
2020-01-02 11:00:00,23691.0
2020-01-02 12:00:00,26167.0
2020-01-02 13:00:00,28190.0
2020-01-02 14:00:00,31033.0
2020-01-02 15:00:00,39279.0
2020-01-02 16:00:00,37889.0
2020-01-02 17:00:00,28257.0
2020-01-02 18:00:00,21419.0
2020-01-02 19:00:00,16355.0
2020-01-02 20:00:00,13040.0
2020-01-02 21:00:00,9706.0
2020-01-02 22:00:00,6235.0
2020-01-02 23:00:00,3522.0
2020-01-03 00:00:00,2267.0
2020-01-03 01:00:00,1592.0
2020-01-03 02:00:00,1316.0
2020-01-03 03:00:00,1305.0
2020-01-03 04:00:00,2030.0
2020-01-03 05:00:00,6256.0
2020-01-03 06:00:00,18451.0
2020-01-03 07:00:00,23847.0
2020-01-03 08:00:00,22191.0
2020-01-03 09:00:00,19823.0
2020-01-03 10:00:00,21185.0
2020-01-03 11:00:00,24930.0
2020-01-03 12:00:00,27728.0
2020-01-03 13:00:00,30277.0
2020-01-03 14:00:00,34123.0
2020-01-03 15:00:00,41113.0
2020-01-03 16:00:00,37412.0
2020-01-03 17:00:00,30656.0
2020-01-03 18:00:00,23060.0
2020-01-03 19:00:00,17236.0
2020-01-03 20:00:00,13909.0
2020-01-03 21:00:00,11494.0
2020-01-03 22:00:00,7189.0
2020-01-03 23:00:00,4800.0
2020-01-04 00:00:00,3237.0
2020-01-04 01:00:00,2270.0
2020-01-04 02:00:00,1815.0
2020-01-04 03:00:00,1543.0
2020-01-04 04:00:00,1802.0
2020-01-04 05:00:00,2518.0
2020-01-04 06:00:00,4354.0
2020-01-04 07:00:00,5402.0
2020-01-04 08:00:00,7902.0
2020-01-04 09:00:00,13374.0
2020-01-04 10:00:00,18496.0
2020-01-04 11:00:00,24413.0
2020-01-04 12:00:00,27369.0
2020-01-04 13:00:00,28878.0
2020-01-04 14:00:00,29285.0
2020-01-04 15:00:00,28326.0
2020-01-04 16:00:00,25574.0
2020-01-04 17:00:00,22039.0
2020-01-04 18:00:00,18577.0
2020-01-04 19:00:00,15760.0
2020-01-04 20:00:00,11504.0
2020-01-04 21:00:00,8901.0
2020-01-04 22:00:00,6753.0
2020-01-04 23:00:00,5158.0
2020-01-05 00:00:00,3588.0
2020-01-05 01:00:00,2626.0
2020-01-05 02:00:00,2098.0
2020-01-05 03:00:00,1730.0
2020-01-05 04:00:00,1783.0
2020-01-05 05:00:00,1974.0
2020-01-05 06:00:00,3342.0
2020-01-05 07:00:00,3745.0
2020-01-05 08:00:00,4804.0
2020-01-05 09:00:00,7960.0
2020-01-05 10:00:00,12692.0
2020-01-05 11:00:00,18383.0
2020-01-05 12:00:00,22649.0
2020-01-05 13:00:00,25536.0
2020-01-05 14:00:00,26104.0
2020-01-05 15:00:00,26843.0
2020-01-05 16:00:00,25253.0
2020-01-05 17:00:00,22531.0
2020-01-05 18:00:00,19361.0
2020-01-05 19:00:00,16666.0
2020-01-05 20:00:00,12528.0
2020-01-05 21:00:00,8872.0
2020-01-05 22:00:00,6181.0
2020-01-05 23:00:00,4412.0
2020-01-06 00:00:00,2695.0
2020-01-06 01:00:00,1946.0
2020-01-06 02:00:00,1394.0
2020-01-06 03:00:00,1143.0
2020-01-06 04:00:00,1298.0
2020-01-06 05:00:00,2166.0
2020-01-06 06:00:00,4233.0
2020-01-06 07:00:00,4598.0
2020-01-06 08:00:00,5417.0
2020-01-06 09:00:00,8244.0
2020-01-06 10:00:00,12467.0
2020-01-06 11:00:00,17445.0
2020-01-06 12:00:00,21946.0
2020-01-06 13:00:00,24541.0
2020-01-06 14:00:00,25776.0
2020-01-06 15:00:00,25980.0
2020-01-06 16:00:00,25031.0
2020-01-06 17:00:00,22788.0
2020-01-06 18:00:00,19652.0
2020-01-06 19:00:00,16131.0
2020-01-06 20:00:00,12441.0
2020-01-06 21:00:00,8454.0
2020-01-06 22:00:00,5000.0
2020-01-06 23:00:00,2742.0
2020-01-07 00:00:00,1670.0
2020-01-07 01:00:00,1161.0
2020-01-07 02:00:00,905.0
2020-01-07 03:00:00,1046.0
2020-01-07 04:00:00,2275.0
2020-01-07 05:00:00,8367.0
2020-01-07 06:00:00,26180.0
2020-01-07 07:00:00,36253.0
2020-01-07 08:00:00,31953.0
2020-01-07 09:00:00,22897.0
2020-01-07 10:00:00,20257.0
2020-01-07 11:00:00,22166.0
2020-01-07 12:00:00,23626.0
2020-01-07 13:00:00,24916.0
2020-01-07 14:00:00,29604.0
2020-01-07 15:00:00,40187.0
2020-01-07 16:00:00,40352.0
2020-01-07 17:00:00,29846.0
2020-01-07 18:00:00,21871.0
2020-01-07 19:00:00,16807.0
2020-01-07 20:00:00,13121.0
2020-01-07 21:00:00,9218.0
2020-01-07 22:00:00,5509.0
2020-01-07 23:00:00,2937.0
2020-01-08 00:00:00,1835.0
2020-01-08 01:00:00,1218.0
2020-01-08 02:00:00,981.0
2020-01-08 03:00:00,1002.0
2020-01-08 04:00:00,2062.0
2020-01-08 05:00:00,7718.0
2020-01-08 06:00:00,25377.0
2020-01-08 07:00:00,35374.0
2020-01-08 08:00:00,31607.0
2020-01-08 09:00:00,22133.0
2020-01-08 10:00:00,19538.0
2020-01-08 11:00:00,21955.0
2020-01-08 12:00:00,22960.0
2020-01-08 13:00:00,24323.0
2020-01-08 14:00:00,29267.0
2020-01-08 15:00:00,40031.0
2020-01-08 16:00:00,40134.0
2020-01-08 17:00:00,31353.0
2020-01-08 18:00:00,22041.0
2020-01-08 19:00:00,16670.0
2020-01-08 20:00:00,13571.0
2020-01-08 21:00:00,10655.0
2020-01-08 22:00:00,5941.0
2020-01-08 23:00:00,3052.0
2020-01-09 00:00:00,1819.0
2020-01-09 01:00:00,1213.0
2020-01-09 02:00:00,914.0
2020-01-09 03:00:00,1051.0
2020-01-09 04:00:00,1949.0
2020-01-09 05:00:00,7618.0
2020-01-09 06:00:00,24692.0
2020-01-09 07:00:00,34752.0
2020-01-09 08:00:00,31347.0
2020-01-09 09:00:00,22660.0
2020-01-09 10:00:00,20201.0
2020-01-09 11:00:00,22570.0
2020-01-09 12:00:00,23504.0
2020-01-09 13:00:00,25348.0
2020-01-09 14:00:00,30334.0
2020-01-09 15:00:00,42222.0
2020-01-09 16:00:00,41368.0
2020-01-09 17:00:00,31462.0
2020-01-09 18:00:00,23489.0
2020-01-09 19:00:00,18356.0
2020-01-09 20:00:00,14675.0
2020-01-09 21:00:00,10470.0
2020-01-09 22:00:00,6307.0
2020-01-09 23:00:00,3440.0
2020-01-10 00:00:00,2020.0
2020-01-10 01:00:00,1307.0
2020-01-10 02:00:00,1126.0
2020-01-10 03:00:00,1125.0
2020-01-10 04:00:00,1954.0
2020-01-10 05:00:00,7262.0
2020-01-10 06:00:00,22754.0
2020-01-10 07:00:00,31527.0
2020-01-10 08:00:00,28348.0
2020-01-10 09:00:00,21173.0
2020-01-10 10:00:00,20247.0
2020-01-10 11:00:00,23783.0
2020-01-10 12:00:00,26068.0
2020-01-10 13:00:00,29041.0
2020-01-10 14:00:00,34644.0
2020-01-10 15:00:00,43039.0
2020-01-10 16:00:00,40506.0
2020-01-10 17:00:00,32332.0
2020-01-10 18:00:00,24499.0
2020-01-10 19:00:00,17523.0
2020-01-10 20:00:00,14011.0
2020-01-10 21:00:00,11735.0
2020-01-10 22:00:00,7551.0
2020-01-10 23:00:00,4915.0
2020-01-11 00:00:00,3456.0
2020-01-11 01:00:00,2336.0
2020-01-11 02:00:00,1775.0
2020-01-11 03:00:00,1600.0
2020-01-11 04:00:00,1910.0
2020-01-11 05:00:00,2593.0
2020-01-11 06:00:00,4695.0
2020-01-11 07:00:00,6178.0
2020-01-11 08:00:00,9449.0
2020-01-11 09:00:00,14188.0
2020-01-11 10:00:00,18720.0
2020-01-11 11:00:00,23785.0
2020-01-11 12:00:00,26744.0
2020-01-11 13:00:00,28032.0
2020-01-11 14:00:00,28140.0
2020-01-11 15:00:00,27323.0
2020-01-11 16:00:00,25723.0
2020-01-11 17:00:00,22243.0
2020-01-11 18:00:00,18514.0
2020-01-11 19:00:00,14953.0
2020-01-11 20:00:00,11698.0
2020-01-11 21:00:00,9337.0
2020-01-11 22:00:00,6854.0
2020-01-11 23:00:00,5316.0
2020-01-12 00:00:00,3741.0
2020-01-12 01:00:00,2696.0
2020-01-12 02:00:00,1975.0
2020-01-12 03:00:00,1709.0
2020-01-12 04:00:00,1765.0
2020-01-12 05:00:00,1945.0
2020-01-12 06:00:00,3287.0
2020-01-12 07:00:00,3824.0
2020-01-12 08:00:00,5090.0
2020-01-12 09:00:00,8372.0
2020-01-12 10:00:00,12472.0
2020-01-12 11:00:00,17252.0
2020-01-12 12:00:00,22088.0
2020-01-12 13:00:00,25341.0
2020-01-12 14:00:00,25864.0
2020-01-12 15:00:00,27074.0
2020-01-12 16:00:00,25976.0
2020-01-12 17:00:00,24215.0
2020-01-12 18:00:00,21036.0
2020-01-12 19:00:00,16660.0
2020-01-12 20:00:00,12633.0
2020-01-12 21:00:00,8444.0
2020-01-12 22:00:00,4868.0
2020-01-12 23:00:00,2679.0
2020-01-13 00:00:00,1694.0
2020-01-13 01:00:00,1124.0
2020-01-13 02:00:00,881.0
2020-01-13 03:00:00,996.0
2020-01-13 04:00:00,2220.0
2020-01-13 05:00:00,8203.0
2020-01-13 06:00:00,25653.0
2020-01-13 07:00:00,35683.0
2020-01-13 08:00:00,31934.0
2020-01-13 09:00:00,23091.0
2020-01-13 10:00:00,19849.0
2020-01-13 11:00:00,21333.0
2020-01-13 12:00:00,22941.0
2020-01-13 13:00:00,23820.0
2020-01-13 14:00:00,28449.0
2020-01-13 15:00:00,40202.0
2020-01-13 16:00:00,39970.0
2020-01-13 17:00:00,29368.0
2020-01-13 18:00:00,22390.0
2020-01-13 19:00:00,16910.0
2020-01-13 20:00:00,13432.0
2020-01-13 21:00:00,9260.0
2020-01-13 22:00:00,5478.0
2020-01-13 23:00:00,2774.0
2020-01-14 00:00:00,1598.0
2020-01-14 01:00:00,1130.0
2020-01-14 02:00:00,924.0
2020-01-14 03:00:00,922.0
2020-01-14 04:00:00,2013.0
2020-01-14 05:00:00,7832.0
2020-01-14 06:00:00,25422.0
2020-01-14 07:00:00,36007.0
2020-01-14 08:00:00,31068.0
2020-01-14 09:00:00,22456.0
2020-01-14 10:00:00,19335.0
2020-01-14 11:00:00,21177.0
2020-01-14 12:00:00,22552.0
2020-01-14 13:00:00,24064.0
2020-01-14 14:00:00,29371.0
2020-01-14 15:00:00,40767.0
2020-01-14 16:00:00,40900.0
2020-01-14 17:00:00,30612.0
2020-01-14 18:00:00,22743.0
2020-01-14 19:00:00,17577.0
2020-01-14 20:00:00,14268.0
2020-01-14 21:00:00,9717.0
2020-01-14 22:00:00,5624.0
2020-01-14 23:00:00,2916.0
2020-01-15 00:00:00,1620.0
2020-01-15 01:00:00,1127.0
2020-01-15 02:00:00,1037.0
2020-01-15 03:00:00,997.0
2020-01-15 04:00:00,2034.0
2020-01-15 05:00:00,7854.0
2020-01-15 06:00:00,25478.0
2020-01-15 07:00:00,35382.0
2020-01-15 08:00:00,30964.0
2020-01-15 09:00:00,22338.0
2020-01-15 10:00:00,19157.0
2020-01-15 11:00:00,21729.0
2020-01-15 12:00:00,23207.0
2020-01-15 13:00:00,24630.0
2020-01-15 14:00:00,29566.0
2020-01-15 15:00:00,40674.0
2020-01-15 16:00:00,40459.0
2020-01-15 17:00:00,31932.0
2020-01-15 18:00:00,23549.0
2020-01-15 19:00:00,17887.0
2020-01-15 20:00:00,14544.0
2020-01-15 21:00:00,10799.0
2020-01-15 22:00:00,6236.0
2020-01-15 23:00:00,3262.0
2020-01-16 00:00:00,1896.0
2020-01-16 01:00:00,1306.0
2020-01-16 02:00:00,978.0
2020-01-16 03:00:00,1054.0
2020-01-16 04:00:00,2057.0
2020-01-16 05:00:00,7936.0
2020-01-16 06:00:00,25347.0
2020-01-16 07:00:00,35717.0
2020-01-16 08:00:00,31419.0
2020-01-16 09:00:00,22612.0
2020-01-16 10:00:00,19918.0
2020-01-16 11:00:00,22370.0
2020-01-16 12:00:00,23593.0
2020-01-16 13:00:00,25677.0
2020-01-16 14:00:00,30445.0
2020-01-16 15:00:00,42260.0
2020-01-16 16:00:00,41241.0
2020-01-16 17:00:00,31929.0
2020-01-16 18:00:00,24151.0
2020-01-16 19:00:00,18959.0
2020-01-16 20:00:00,14977.0
2020-01-16 21:00:00,10795.0
2020-01-16 22:00:00,6545.0
2020-01-16 23:00:00,3451.0
2020-01-17 00:00:00,1994.0
2020-01-17 01:00:00,1360.0
2020-01-17 02:00:00,1091.0
2020-01-17 03:00:00,1128.0
2020-01-17 04:00:00,2174.0
2020-01-17 05:00:00,7762.0
2020-01-17 06:00:00,23900.0
2020-01-17 07:00:00,33811.0
2020-01-17 08:00:00,30023.0
2020-01-17 09:00:00,22549.0
2020-01-17 10:00:00,21176.0
2020-01-17 11:00:00,24305.0
2020-01-17 12:00:00,26353.0
2020-01-17 13:00:00,29762.0
2020-01-17 14:00:00,36603.0
2020-01-17 15:00:00,44606.0
2020-01-17 16:00:00,41611.0
2020-01-17 17:00:00,33282.0
2020-01-17 18:00:00,25299.0
2020-01-17 19:00:00,18844.0
2020-01-17 20:00:00,14846.0
2020-01-17 21:00:00,11547.0
2020-01-17 22:00:00,8052.0
2020-01-17 23:00:00,5576.0
2020-01-18 00:00:00,3867.0
2020-01-18 01:00:00,2622.0
2020-01-18 02:00:00,2122.0
2020-01-18 03:00:00,1763.0
2020-01-18 04:00:00,1985.0
2020-01-18 05:00:00,2770.0
2020-01-18 06:00:00,4636.0
2020-01-18 07:00:00,6261.0
